ICP,Plataforma,Tipo,Texto
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),"2 quartos no [Bairro]: R$ 389 mil, pronto pra morar"
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Saia do aluguel ainda este ano
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Financia pela Caixa e usa o FGTS na entrada
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Seu primeiro apê custa menos do que você imagina
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Cansou de pagar aluguel? Esse apê resolve
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Apê de 2 quartos com parcela que cabe no bolso
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Pare de pagar o financiamento do seu vizinho
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),R$ 389 mil: o apê que tira você do aluguel
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),MCMV: entrada facilitada e chave na mão
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Use seu FGTS de entrada e saia do aluguel
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Apê pronto pra morar perto de tudo no [Bairro]
Sair do aluguel / Minha Casa Minha Vida,Meta,Título (headline),Parcela parecida com o aluguel — só que é seu
Sair do aluguel / Minha Casa Minha Vida,Meta,Texto primário,"Você paga aluguel há anos e o imóvel nunca fica seu. Esse apê de 2 quartos no [Bairro] sai por R$ 389 mil, financia pela Caixa e ainda usa o FGTS na entrada. Me chama no WhatsApp que eu simulo sua parcela hoje."
Sair do aluguel / Minha Casa Minha Vida,Meta,Texto primário,"Imagina parar de pagar aluguel e essa parcela virar SEU apartamento. 2 quartos, 1 vaga, pronto pra morar. Te explico a condição em 2 minutos no WhatsApp."
Sair do aluguel / Minha Casa Minha Vida,Meta,Texto primário,"Sem entrada gigante, sem burocracia. Apê de 2 quartos no [Bairro] com financiamento pela Caixa e FGTS na entrada. Quer simular? Chama aqui."
Sair do aluguel / Minha Casa Minha Vida,Meta,Texto primário,Aluguel é dinheiro que não volta. Esse apê pronto pra morar muda isso. Me manda mensagem que eu te mostro por dentro e simulo o financiamento.
Sair do aluguel / Minha Casa Minha Vida,Meta,Texto primário,"A parcela desse apê é parecida com o aluguel que você já paga — só que no fim ele é seu. R$ 389 mil, financia + FGTS. Bora conversar no WhatsApp?"
Sair do aluguel / Minha Casa Minha Vida,Meta,Texto primário,"Você não precisa de muito pra começar. FGTS de entrada + financiamento Caixa e a chave é sua. Te explico tudo no WhatsApp, sem compromisso."
Upgrade / Médio padrão (família crescendo),Meta,Título (headline),Seu apê ficou pequeno? Veja este de 3 quartos
